Category,ComponentOne,ComponentTwo,ComponentOneLicense,ComponentTwoLicense,LicenseTerm,TermValueOne,TermValueTwo,TermDescriptionOne,TermDescriptionTwo
LEGAL,ActFramework Starter - Ebean2 and AAA 1.7.0.0,GroupBy - API - Java - Flux 2.5.33,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and AAA 1.7.0.0,GroupBy - API - Java - Flux 2.5.34,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and AAA 1.7.0.0,LightJason AgentSpeak(L++) 0.0.1,Apache License 2.0,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.0.0,ActFramework Starter - EclipseLink and AAA 1.7.1.0,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.0.0,ActiveMQ JUnit Utilities 1.0.2,Apache License 2.0,[base] BSD 2.0 (base license),Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.0.0,ActiveMQ JUnit Utilities 1.0.2,Apache License 2.0,[base] BSD 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.0.0,AOP Alliance (Java/J2EE AOP standard) 1.0,Apache License 2.0,Public Domain,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.0.0,avro4s-json 1.8.3,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.0.0,Axis (Java) 1.4,Apache License 2.0,[base] GPL 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.0.0,GroupBy - API - Java - Flux 2.5.33,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.0.0,GroupBy - API - Java - Flux 2.5.34,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.0.0,LightJason AgentSpeak(L++) 0.0.1,Apache License 2.0,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.1.0,ActFramework Starter - EclipseLink and AAA 1.7.1.0,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.1.0,ActiveMQ JUnit Utilities 1.0.2,Apache License 2.0,[base] BSD 2.0 (base license),Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.1.0,ActiveMQ JUnit Utilities 1.0.2,Apache License 2.0,[base] BSD 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.1.0,AOP Alliance (Java/J2EE AOP standard) 1.0,Apache License 2.0,Public Domain,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.1.0,avro4s-json 1.8.3,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.1.0,Axis (Java) 1.4,Apache License 2.0,[base] GPL 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.1.0,GroupBy - API - Java - Flux 2.5.33,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.1.0,GroupBy - API - Java - Flux 2.5.34,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.1.0,LightJason AgentSpeak(L++) 0.0.1,Apache License 2.0,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,ActFramework Starter - Eclipselink and multiple plugins 1.7.0.0,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,ActFramework Starter - Excel 1.7.0.0,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,ActFramework Starter - Excel 1.7.1.0,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,ActFramework Starter - Velocity 1.7.1.0,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,ActiveMQ JUnit Utilities 1.0.2,GNU Affero General Public License v3.0,[base] BSD 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,agent-bond-agent 1.2.0,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,agent-bond-core 1.2.0,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,agent-bond-jmx_exporter 1.2.0,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,agent-bond-jolokia 1.2.0,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,airframe-config 0.40,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,airframe-config 0.41,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,airframe-jmx 0.40,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,airframe-jmx 0.41,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,Apache ActiveMQ 5.13.5,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,Apache Extras Companion for log4j 1.2. 1.2.17,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,Apache jclouds :: Azure :: Compute API 2.1.0,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,api-capture-info 1.4.0,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,api-capture-info-schemas 1.4.0,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,api-capture-playout 1.0.0,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,api-manager-test 3.0.0-m18,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,avro4s-json 1.8.3,GNU Affero General Public License v3.0,MIT License,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,axion-release-plugin 1.9.0,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,Axis (Java) 1.4,GNU Affero General Public License v3.0,[base] GPL 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,Axon Framework Spring Support 3.1.3,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,Axon Metrics 3.1.3,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,axonhub-grpc-proto 1.0-beta3,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,com.springsource.org.apache.axis 1.4.0,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GroupBy - API - Java - Flux 2.5.33,GNU Affero General Public License v3.0,MIT License,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GroupBy - API - Java - Flux 2.5.34,GNU Affero General Public License v3.0,MIT License,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,jolokia-core 1.5.0,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,jolokia-jvm 1.5.0,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,json-simple 1.1.1,GNU Affero General Public License v3.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - Eclipselink and multiple plugins 1.7.0.0,ActiveMQ JUnit Utilities 1.0.2,Apache License 2.0,[base] BSD 2.0 (base license),Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Eclipselink and multiple plugins 1.7.0.0,ActiveMQ JUnit Utilities 1.0.2,Apache License 2.0,[base] BSD 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActFramework Starter - Eclipselink and multiple plugins 1.7.0.0,AOP Alliance (Java/J2EE AOP standard) 1.0,Apache License 2.0,Public Domain,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Eclipselink and multiple plugins 1.7.0.0,avro4s-json 1.8.3,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Eclipselink and multiple plugins 1.7.0.0,Axis (Java) 1.4,Apache License 2.0,[base] GPL 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActFramework Starter - Eclipselink and multiple plugins 1.7.0.0,GroupBy - API - Java - Flux 2.5.33,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Eclipselink and multiple plugins 1.7.0.0,GroupBy - API - Java - Flux 2.5.34,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Eclipselink and multiple plugins 1.7.0.0,LightJason AgentSpeak(L++) 0.0.1,Apache License 2.0,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Excel 1.7.0.0,ActiveMQ JUnit Utilities 1.0.2,Apache License 2.0,[base] BSD 2.0 (base license),Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Excel 1.7.0.0,ActiveMQ JUnit Utilities 1.0.2,Apache License 2.0,[base] BSD 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActFramework Starter - Excel 1.7.0.0,AOP Alliance (Java/J2EE AOP standard) 1.0,Apache License 2.0,Public Domain,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Excel 1.7.0.0,avro4s-json 1.8.3,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Excel 1.7.0.0,Axis (Java) 1.4,Apache License 2.0,[base] GPL 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActFramework Starter - Excel 1.7.0.0,GroupBy - API - Java - Flux 2.5.33,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Excel 1.7.0.0,GroupBy - API - Java - Flux 2.5.34,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Excel 1.7.0.0,LightJason AgentSpeak(L++) 0.0.1,Apache License 2.0,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Excel 1.7.1.0,ActiveMQ JUnit Utilities 1.0.2,Apache License 2.0,[base] BSD 2.0 (base license),Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Excel 1.7.1.0,ActiveMQ JUnit Utilities 1.0.2,Apache License 2.0,[base] BSD 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActFramework Starter - Excel 1.7.1.0,AOP Alliance (Java/J2EE AOP standard) 1.0,Apache License 2.0,Public Domain,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Excel 1.7.1.0,avro4s-json 1.8.3,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Excel 1.7.1.0,Axis (Java) 1.4,Apache License 2.0,[base] GPL 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActFramework Starter - Excel 1.7.1.0,GroupBy - API - Java - Flux 2.5.33,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Excel 1.7.1.0,GroupBy - API - Java - Flux 2.5.34,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Excel 1.7.1.0,LightJason AgentSpeak(L++) 0.0.1,Apache License 2.0,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Velocity 1.7.1.0,ActiveMQ JUnit Utilities 1.0.2,Apache License 2.0,[base] BSD 2.0 (base license),Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Velocity 1.7.1.0,ActiveMQ JUnit Utilities 1.0.2,Apache License 2.0,[base] BSD 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActFramework Starter - Velocity 1.7.1.0,AOP Alliance (Java/J2EE AOP standard) 1.0,Apache License 2.0,Public Domain,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Velocity 1.7.1.0,avro4s-json 1.8.3,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Velocity 1.7.1.0,Axis (Java) 1.4,Apache License 2.0,[base] GPL 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
